place_id,review-ID,total_stars,text,food_rating,service_rating,atmosphere_rating
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2pFeVdrMWFTMDV5T0hoNVUzVTVkRjl4V21rNU5FRRAB,5.0,吃得很爽,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2t4TVJHbFFNV05VT1MxMFozbENNMDUzZFdSTldHYxAB,5.0,很久沒來吃 辣椒超辣 哇幹,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT210elJXZFhRbVpqZWpJd1RscE9NMEZCTFdWU1pFRRAB,4.0,涼麵好吃！,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT21KQlRrTjFVRTF5WTA5bWJFRk1jaTF0T1dGU1pGRRAB,5.0,,5.0,3.0,3.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT21VNWNGWnZVVzVaZVZCRFdIcGZkVTlSZGxKelNtYxAB,5.0,,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT21aVk1UUlRkVWc1TkhWUFpuRkxNMnRrVVVrdGJWRRAB,5.0,因為常常吃就沒有拍照了，留言是因為看到有人留言說辣椒很辣，愛吃辣油的我淋了小半匙在旁邊，剛入口時覺得…還好啊…然後…就後悔了猛灌湯😂,5.0,5.0,3.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT25oalNtRklhVlozWTNSM1JWSkZTR2xLVERZM2MwRRAB,5.0,辣椒很辣很辣 要加的人不要太大方🤣🤣🤣🤣,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2xWT2REWjJXazFJZWxkWmFsQnBaRzR0VFhGSVZsRRAB,5.0,涼麵不錯吃是喜歡的那種傳統涼麵，但特別來留言：「辣椒真的非常非常辣」，外送給很大方一整包我就加了半包😵，平常小辣的人加兩滴就好！,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2s1blNVOU9WMkZvUW05SFdWSkhWMmd6YVV0c1NWRRAB,1.0,麵吃起來整個爛爛的 小菜的豆干也是 整體吃起來能吃的只有湯,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT25kWlRWSk5ZM1V3ZHpkclQycGhSMFF5TUZKS1RHYxAB,5.0,讚,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2pCbWVXdHFWV1pVYkVSdVNHUXdjMHhyUWxSaFRXYxAB,5.0,涼麵超級好吃，麻醬有夠香！連吃兩天了,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT25JMmVVRk1TemwzYzFoQlVHNXFUVVZqWW1ObVIxRRAB,5.0,"叫外送的時候沒有給到醬..
我覺得今天做的很棒的一點就是
馬上打電話反應後店家就請人送來
服務態度也真的讓人很舒服
光這點就是很多餐飲業做不到的了
服務跟售後態度最少已經給五星
食品也真的不錯吃 在多五星
會讓人再次訂購",5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2pKYVVUaENSa2R4YWtSaFNTMHRMVVV5UjIwNFVtYxAB,1.0,,1.0,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2kxclpsVTBOUzEwVVVsdFZYcENha2wzY1ZwT1NXYxAB,5.0,雞絲麻醬涼麵跟白乾絲很好吃味道很夠 蒜味也很靈魂 👍🏻👍🏻,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT21kTmJrVkJja05PU0c5WllXeEljaTFaZDBsS2VXYxAB,4.0,,5.0,3.0,3.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT205V2RXeFZiMFIyTjFOcVowbHJhbUZrVTA5V1duYxAB,5.0,"開整天的
這陣子超愛的涼麵",5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2xaRFEyaENhRmh2Vlhabk5GaHhWMVZCTVU5UU5rRRAB,1.0,點uber外送叫三合一湯只來味增湯 店家教育相當差勁,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2xSbWVVaG1hVFEyY0ZwblduTmlVbE5IZWpsdk9FRRAB,4.0,,4.0,3.0,3.0
